Year,Assets,Current Assets,Cash and cash equivalents,Short-term bank deposits,Available-for-sale marketable securities,"Trade and unbilled receivables, net",Other receivables and prepaid expenses,"Inventories, net of customers advances",noncurrent asset,"Investments in affiliated companies, partnerships and other companies",Long-term trade and unbilled receivables,Long-term bank deposits and other receivables,"Deferred income taxes, net",Severance pay fund,Operating lease right of use assets,"Property, plant and equipment, net","Goodwill and other intangible assets, net",Liabilities and Equity,Short term Liabilities,Short-term bank credit and loans,Current maturities of long-term loans and Series A Notes,Operating lease liability,Trade payables,Other payables and accrued expenses,Customer advances in excess of costs incurred on contracts in progress,Long term Liabilities,"Long-term loans, net of current maturities","Series A Notes, net of current maturities",Employee benefit liabilities,"Deferred income taxes and tax liabilities, net",Customer advances in excess of costs incurred on contracts in progress,Operating lease liability,Other long-term liabilities,Equity,Elbit Systems Ltd.'s equity,Non-controlling interests
2016,,,"222,810","8,882","13,370","1,232,591","102,979","840,266",,"180,962","189,688","15,917","79,639","264,253",,"474,109","726,398",,,"5,027","228,956",,"514,106","828,716","347,393",,475,"171,066","376,115","60,098","174,529",,"78,142",,"1,559,840","7,401"
2017,,,"156,074","3,126","13,371","1,406,563","128,946","902,954",,"172,338","295,396","38,082","51,358","298,590",,"495,716","752,403",,,"133,750","67,556",,"633,689","835,394","418,560",,"119,514","124,865","413,117","68,159","133,649",,"48,692",,"1,708,310","9,662"
2018,,,"208,47","16,447",,"1,712,915","199,148","1,141,996",,"196,180","297,145","42,962","42,804","278,732",,"686,620","1,261,921",,,,,,"776,100","1,081,992","780,994",,"467,649","56,303","736,798","78,677","175,890",,"170,607",,"1,832,453","21,955"
2019,,,"221,060","2,213",,"2,067,846","160,728","1,219,920",,"201,574","259,150","58,076","89,452","287,104","365,763","766,532","1,635,940",,,,,"62,565","926,338","1,052,080","723,581",,"440,124",,"836,535","114,419","62,830","323,287","225,478",,"2,141,406","18,434"
